StartDate,EndDate,Duration (in seconds),Finished,Age,Gender,Death,HeadCount,TInstruc_First Click,TInstruc_Last Click,TInstruc_Page Submit,TInstruc_Click Count,TAuction1_First Click,TAuction1_Last Click,TAuction1_Page Submit,TAuction1_Click Count,TAuction2_First Click,TAuction2_Last Click,TAuction2_Page Submit,TAuction2_Click Count,TAuction3_First Click,TAuction3_Last Click,TAuction3_Page Submit,TAuction3_Click Count,1_Bid,1_T,2_Bid,2_T,3_Bid,3_T,4_Bid,4_T,5_Bid,5_T,6_Bid,6_T,7_Bid,7_T,8_Bid,8_T,9_Bid,9_T,10_Bid,10_T,MaxBid,GetCard,GetCash,workerId,prices,prices_amazon,prices_wholefoods,EndLoop,dispersion
27/03/2020 15:37,27/03/2020 15:37,20,1,30,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3IBAGEKMDEGSI,,,,0,lower
27/03/2020 15:37,27/03/2020 15:38,17,1,30,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3IBAGEKMDEGSI,,,,0,higher
27/03/2020 15:38,27/03/2020 15:38,16,1,24,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1JDU4SNECC7QP,,,,0,higher
27/03/2020 15:37,27/03/2020 15:38,44,1,25,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1AT47U7BICOLR,,,,0,lower
27/03/2020 15:38,27/03/2020 15:38,23,1,24,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1JDU4SNECC7QP,,,,0,lower
27/03/2020 15:38,27/03/2020 15:38,31,1,30,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3IBAGEKMDEGSI,,,,0,lower
27/03/2020 15:38,27/03/2020 15:38,21,1,25,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1AT47U7BICOLR,,,,0,lower
27/03/2020 15:38,27/03/2020 15:39,11,1,30,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3IBAGEKMDEGSI,,,,0,higher
27/03/2020 15:38,27/03/2020 15:39,23,1,24,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1JDU4SNECC7QP,,,,0,lower
27/03/2020 15:39,27/03/2020 15:39,14,1,25,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1AT47U7BICOLR,,,,0,lower
27/03/2020 15:39,27/03/2020 15:39,11,1,30,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3IBAGEKMDEGSI,,,,0,higher
27/03/2020 15:39,27/03/2020 15:39,10,1,25,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1AT47U7BICOLR,,,,0,lower
27/03/2020 15:39,27/03/2020 15:39,12,1,24,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1JDU4SNECC7QP,,,,0,lower
27/03/2020 15:39,27/03/2020 15:39,11,1,30,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3IBAGEKMDEGSI,,,,0,lower
27/03/2020 15:39,27/03/2020 15:39,14,1,25,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A24CDDRCS256SR,,,,0,higher
